Node ID,Latitude,Longitude
10916413552,57.05268563993586,9.910611096550412
10916413552,57.05272417423728,9.910623718710497
10916413552,57.05276920714693,9.910638360416186
10916413552,57.052814331532126,9.910652833826418
10916413552,57.05285899821233,9.91066798041848
10916413552,57.052903573308896,9.910684136783344
10916413552,57.052948148351966,9.910699283375465
10916413552,57.05299244875241,9.910712242126465
10916413552,57.05303061661704,9.91072435940012
10916413552,57.053073727035645,9.910741862128788
10916413552,57.0531114371697,9.91075986974377
10916413552,57.053148140443,9.91077838224524
10916413552,57.05318786414431,9.91079807281494
10916413552,57.05322786239048,9.91081624872544
10916413552,57.05325724322578,9.910828870885496
10916413552,57.05330419759655,9.910847046795991
